Text,Class
banc pregunta cuestionar curs,1
dentro curs exist dos instrument combina realizo cuestionar  banc pregunta permit creacion organizo distinto tip pregunta  model activ cuestionar permit cre distinto cuestionar dentro curs alimento pregunta banc pregunta ,1
esta relacion banc pregunta cuestionar curs puede ser confuso formular edicion cad cuestionar permit cre pregunta  que segund plan hecho pregunta guard banc pregunta razon recomienda creas banc pregunta facil maten buen organizo ,1
en siguiente list expone fas ciclo complet creacion gestion cuestionar ngel relacion apart manual,1
en primer fas aborda creacion categor subcategoria banc pregunta correct organizo bat pregunta apart  ,1
la siguiente fas correspond creacion pregunta elige distinto tip pregunta correspondiente opcion configura opcion configura comun casi tip pregunta orden respuesta retroaliment general post penaliza intent apart  ,1
a continuo comenzo trabajo herramienta labor cuestionar ver esquema apart  prim lug deb establece configura conforme tip aplica cuestionar formular edit just cuestionar ofrece amplia repertorio opcion permit just opcion tan divers ejercicio ropas autoevalu ningun pes califa prueba evaluo pes decis not final asignatura apart  si necesario podr establece excepcion usuari grup ver apart ,1
en cuarto fas insert pregunta establece pagina fas puede baraja orden pregunta insert pregunta aleatorio finalizo fas podr realizo previsualizar cuestionar comprobo desarrollo esper apart ,1
el cuestionar list ser realizo alumno posterior podr analiza result exist opcion cas realizo recalo despues correo error diseño cuestionar ejemplo modifico puntuacion respuesta pregunta apart fas labor ,1
la fas final correspond reutilizo pregunta cuestionar dentro mismo aul dos aus mismo curs academy dos curso academy apart fas labor  ,1
organizo pregunta banc pregunta,2
el banc pregunta herramienta va permit organizo gestion incorporo pregunta cuestionar curs banc pregunta vam pod cre edit pregunta organizar categor import export,2
par accede banc pregunta abril panel gestion curs pues banc pregunta  dentro bloque banc pregunta ,2
al pues banc pregunta panel gestion curs accede pestaña pregunta  ,2
el menu desplego  permit seleccion categor cuy conten va desplego,2
a continuo encuentra seri filtro busqueda  aunque exist filtro etiqueta  todas no activ opcion etiqueta pregunta puede utiliza rest filtro dispone  ,2
cre nuevo pregunta  dentro categor,2
en part inferior aparece list pregunta conten categor  icon destaca roj  identify tip pregunta formular situ part inferior  permit mov pregunta categor otra,2
cre categor,2
una categor conjunto pregunta vez puede conten subcategorias instrument organizo clasifico multiple pregunta incl van ser incl curs ,2
par añade categor pues pestaña categor  relleno formular ,2
leg categor padre menu desplego  numer  destaca roj imag  indic categor contiene  pregunta ,2
en camp text nombre  incl nombre categor ,2
guard cambio ,2
en imag siguiente vem vist pestaña pregunta cre vari categor pod usar flecha destaca roj cambio orden sub baj nivel jerarquia si born categor pregunta pregunta si quer traslado pregunta categor superior,2
ten destaca mood cad cuestionar dispone categor propi pregunta no visualiza venta category curs ello aconseja cre categor quer utiliza añade pregunta categor existent edit problem no encontro pregunta no asocia categor sin cuestionar ocurre porque ocasion proces migracion conten curs academy siguiente pregunta asocia cuestionar no aparece banc pregunta traspaso dich cuestionar pod recupero deb entrar curs orig procede export pregunta import curs destin explica adel,2
aplica categor subcategoria,2
la utiliza categor subcategoria organizo curs venta import prim lug explica permit agrupa pregunta van asign posterior cuestionar destaca ademas dos aspect,2
si quer utiliza pregunta aleatorio ver apart  escoge numer determino pregunta dentro categor subcategoria mod ten buen organizo pregunta permit discrimina pregunta form adecua ,2
del mismo mod si quer export conjunto pregunta proces sencillo si bien organizo ,2
cre pregunta,3
par cre pregunta pues cre pregunta nuevo pestaña pregunta banc pregunta ver imag apart  organizo pregunta banc pregunta ,3
en part izquierda siguiente imag muestra cuadro dialog leg tip pregunta present  list pregunta  are muestra descripcion tips seleccion  boton agrega ,3
ademas part derecho muestra distinto tip pregunta agrupa familia,3
las frecuente verdaderofals opcion multiple respuesta cort numer,3
la familia calcul pregunta valor numer enuncia var form aleatorio form cad estudi busca propi solucion problem ,3
pregunta present visual emparejo arrastre solo clon,3
las pregunta tip ensayo permit realizo pregunta abierto dentro cuestionar ,3
las pregunta tip descripcion permit insert fragment conten pregunta cuestionar,3
cad tip pregunta caracteres funcion especie van tras apart posterior embargo comenzo descripcion sistema siguiente apart vam tras caracteres comun casi tip pregunta,3
aspect general creacion pregunta,3
los formular creacion pregunta element comun puede enrique present experiment alumno uso editor dar format text camp retroaliment uso unidad equivalent unidad penaliza post,3
el uso editor redaccion pregunta respuesta,3
tod opcion editor grafico dispone redaccion enuncia pregunta y procede respuesta ejemplo utiliza imagen puede sport precision pregunta incluso ser imprescind exposicion pregunta ,3
las imag puede utiliza camp respuesta muestra siguiente imag,3
sin embargo usan imagen intent usar imagen adecua dimension venta van mostro modifico tamaño usando opcion cuadro dialog public imagen pestaña parent ,3
ademas editor cuenta editor formal integro iris notacion tex imag siguiente muestra opcion editor formal integro iris ,3
par inform insercion imagen formal editor consult apart insercion  edicion imagen manual gestion recurso ngel,3
baraja respuesta numer opcion,3
la opcion ¿baraja ¿baraja respuesta  aparece tod tip pregunta present vari opcion respuesta siguiente imag muestra captura formular tip pregunta opcion multiple frecuente caracteres ,3
la opcion ¿baraja respuesta  aparece marc defect comporta no produce si opcion no marc apart formular edit just  comporta pregunta cuestionar tras pod bloque comporta pregunta perd sent ejemplo pregunta ultima respuesta tod respuesta anterior incorrect ,3
ademas asocia opcion opcion numer eleccion  aunque tradicional cuestionar realizo papel utiliza numer letra etiqueta respuesta cuestionar realizo online puede optar realizo sin numer ,3
los camp retroliment general combina especie,3
estos camp puede ser utiliza reforzo dialog ella estudi intent resolve pregunta element retroaliment muestra cuestionar mod adapt interact multiple intent ver apart  comporta pregunta visualiza depend configura apart  opcion revision,3
dentro formular creacion pregunta encuentra siguiente opcion ,3
retroaliment respuesta denomina retroaliment especie apart opcion revision ,3
retroaliment general,3
retroaliment combina cuando vari respuesta correct ,3
en imag siguiente vem mensaje retroaliment respuesta parcial incorrect retroaliment respuesta  retroaliment combina  primer post  ver apart  multiple intent penaliza cad intent incorrect ,3
en siguiente imag muestra retroaliment respuesta total correct retroaliment respuesta  retroaliment combina  retroaliment general  respuesta correct ,3
esta mismo retroaliment aparece despues realizo intent envio respuesta pagina revision ,3
multiple intent penaliza cad intent incorrect,3
las penaliza intent funcion escoge edit just  comporta pregunta mod adapt interact vari intent ver apart  valor introduce penaliza cad intent incorrect  define penaliza aplica cad intent incorrect penaliza proporcional califa total pregunta ,3
ademas unic cuestionar mod interact vari intent muestra post retroaliment numer intent que define cad pregunta numer post correspondiente ,3
las frecuente verdaderofals opcion multiple respuesta cort numer,3
opcion multiple,3
en formular creacion pregunta opcion multiple aparece prim lug menu desplego seleccion categor  camp escribe nombre pregunta  import escribe nombre identifica pod encontro pregunta list banc pregunta  ,3
a continuo aparece camp enuncia pregunta  puntuacion defect  ultima camp permit especifica puntuacion maxim obtener respuesta ningun penaliza ,3
a continuo menu ¿un vari respuesta  cuy opcion desplego cuadro destaca  ,3
la imag siguiente muestra apart respuesta camp text cad opcion respuesta eleccion califa cad opcion total respuesta correct deb sum   ,3
si escoge opcion se permit vari respuesta menu ¿un vari respuesta respuesta incorrect deb ten puntuacion negar  contrario puede marc tod respuesta often puntuacion maxim pregunta ,3
pregunta verdadero  false,3
los primer camp formular habitual rest tip pregunta  continuo camp respuesta correct  indic si enuncia verdadero false  ,3
en camp penaliza cad intent sol aplica mod adapt valor siempre  ,3
cuando contest pregunta tip verdadero  false cuestionar unic intent no posible vol dej respuesta pregunta sol cambio opcion respuesta edit situacion puede usar defect pregunta opcion multiple incl dos opcion respuesta la opcion correct incorrect tercer opcion text nunc puntuacion neutro ,3
pregunta numer,3
las pregunta numer present mismo camp pregunta apart general ,3
en apart respuesta   ejemplo muestra imag maten mismo valor camp respuesta   vari mar error   califa asocia    ,3
tratamiento unidad,3
las pregunta numer asi tip pregunta respuesta format numer calcul calcul simple calcul opcion multiple permit especifica unidad deb utiliza respuesta establece equivalent mismo ,3
en prim lug menu tratamiento unidad  especie si uso unidad opcional u obligatorio ver opcion desplego recuadro  ademas menu las unidad introduce empleo  leg method mostro formular respuesta  mismo camp seleccion opcion multiple venta emergente ,3
en apart unid puede especifica cad unid  abreviatura  multiple correspondiente ,3
en siguiente imag muestra present pregunta,3
respuesta cort,3
la imag siguiente muestra camp apart general  part inferior encuentra menu indic si cuenta mayuscula minuscula respuesta ,3
com indic text roj imag siguiente puede usar caract  comodin ejemplo respuesta   incl  asterisco revision puede introduce mar casi lug casi respuesta  text casi  califa baj  ,3
en siguiente imag muestra previsualizar pregunta respuesta mar casi  acepto correct aunque retroaliment indic respuesta correct casi  ,3
la familia calcul,3
calcul,3
las pregunta calcul permit cre pregunta numer mediante uso comodin wildcard por ejemplo x y  sustituir valor aleatorio pregunta,3
la edicion pregunta realizo tres pagina suceso primer pagina incl apart general respuesta tratamiento unidad unidad multiple intent ,3
en apart general muestra selector categor pregunta ademas element comodin comparte indic no comodin comparte categor  cas exist pregunta comodin mismo categor mostro apart ,3
en apart enuncia pregunta destaca comodin pregunta delimita ,3
en apart respuesta apart formal respuesta   incl formal  califa respuesta  formal calcul tower  part inferior boton cre opcion respuesta  ,3
par consult opcion apart tratamiento unidad unidad  ver apart  pas siguiente pagina configura pues guard cambio  ,3
los comodin cre enuncia pregunta pagina anterior puede ser prev usar unic pregunta comparte acces tod pregunta mismo categor  ,3
si quer limit uso comodin unic pregunta leg usar mismo conjunto dat prev antes aplica cre conjunto dat ello refiere conjunto existent ,3
si quer comodin dispone pregunta leg usar nuevo conjunto dat comparte ,3
la opcion sincroniza permit often mismo valor tod pregunta cuestionar ejemplo valor primer pregunta pid primer circula radio segund pregunta pid superficie circula radio,3
sin embargo sincroniza sol funcion si pregunta guard mismo categor mismo numer conjunto dat datasets,3
pues siguiente pagina define conjunto dat comodin definicion variable conjunto dat puede hac form manual aleatorio informacion document mood,3
calcul simple ,3
este tip pregunta ofrece interfaz simplifica unic pagina encontro mismo opcion primer pagina pregunta calcul sala part inferior encuentra opcion encuentra comodin x present formal respuesta correct ,3
pues opcion despliega nuevo seccion permit gener conjunto valor cad comodin cre ,3
calcul opcion multiple,3
